式神,生命,攻击,防御,速度,暴击,效果命中,效果抵抗,一技能,一技能描述,一技能强化,二技能,二技能描述,二技能强化,三技能,三技能描述,三技能强化,觉醒效果,觉醒技能,觉醒技能描述,觉醒技能强化
以津真天,10025.96,3269.6,396.9,110,0.1,0,0,风之舞,以利爪攻击敌方目标，造成攻击60%伤害。若非进行反击，则每层黄金羽增加1次攻击次数。,"Lv.2伤害增加至65%
Lv.3伤害增加至70%
Lv.4伤害增加至75%
Lv.5伤害增加至85%",黄金羽,"回合开始时，获得随机1-3层黄金羽。
受到伤害时，将1层印记转为附加至伤害者，上限3层。
阵亡时，对场上带有黄金羽的敌方，消耗所有印记层数，每层对其造成攻击30%伤害。","Lv.2黄金羽减疗、易伤效果增至6%
Lv.3黄金羽减疗、易伤效果增至7%
Lv.4黄金羽减疗、易伤效果增至8%
Lv.5黄金羽减疗、易伤效果增至9%",千羽风之舞,飞于空中冲入敌阵攻击敌方全体2次，每次造成攻击60%伤害，然后对带有黄金羽的敌人，消耗所有层数，每层造成攻击30%伤害。,"Lv.2伤害增加至63%
Lv.3伤害增加至66%
Lv.4伤害增加至69%
Lv.5伤害增加至72%",觉醒技能增强,黄金羽,"回合开始时，获得随机1-3层黄金羽。
受到伤害时，将1层印记转为附加至伤害者，上限3层。
带有黄金羽的敌方被普攻时，以津真天有50%概率协战。
阵亡时，对场上带有黄金羽的敌人，消耗所有层数，每层印记造成攻击30%伤害。","Lv.2黄金羽减疗、易伤效果增至6%
Lv.3黄金羽减疗、易伤效果增至7%
Lv.4黄金羽减疗、易伤效果增至8%
Lv.5黄金羽减疗、易伤效果增至9%"
傀儡师,11734.76,2840.8,401.31,108,0.05,0,0,傀儡·出击,一边自言自语一边操纵傀儡攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,傀儡·爆发,激活机关，控制傀儡连续攻击敌方目标5次，每次造成攻击55%伤害。,"Lv.2伤害增加至58%
Lv.3伤害增加至61%
Lv.4伤害增加至64%
Lv.5伤害增加至67%",觉醒添加技能,傀儡·追击,造成伤害时，20%概率对目标造成其生命上限10%伤害，最高不超过攻击120%。,
兔丸,13215.72,2412,414.54,116,0.03,0,0,萌动,攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",治愈,受到非传导伤害时，有40%概率获得1层胡萝卜，上限4层。单次攻击内最多触发1次。,"Lv.2胡萝卜提升效果抵抗，增至30%
Lv.3触发概率增至50%
Lv.4胡萝卜提升效果抵抗，增至40%
Lv.5触发概率增至60%",守护之心,"对随机友方目标，驱散其带有的冰冻、沉睡或解除其带有的变形、眩晕，并增加10%行动条。之后消耗所有胡萝卜，每消耗1层可额外使另一个随机友方目标也增加行动条。
对带有控制效果的友方将改为增加双倍行动条。","Lv.2增加行动条效果增至15%
Lv.3增加行动条效果增至20%
Lv.4增加行动条效果增至25%
Lv.5增加行动条效果增至30%",觉醒技能增强,治愈,"受到非传导伤害时，有40%概率获得1层胡萝卜，上限4层。单次攻击内最多触发1次。
回合开始时，获得2层胡萝卜。
先机：获得1层胡萝卜。","Lv.2胡萝卜提升效果抵抗，增至30%
Lv.3触发概率增至50%
Lv.4胡萝卜提升效果抵抗，增至40%
Lv.5触发概率增至60%"
入殓师,9342.44,3028.4,463.05,104,0.1,0,0,葬仪,释放来自冥界的力量，对敌方目标造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",离魂,对敌方目标造成攻击211%伤害。,"Lv.2伤害增加至221%
Lv.3伤害增加至232%
Lv.4伤害增加至244%
Lv.5消耗鬼火数减1",荼蘼盛放之棺,"召唤出棺中少女织雪，持续1回合。此期间降低自身50%速度，提升250%基础防御、70%效果抵抗。
任一敌方回合结束后，若自身未处于无法动作，则对其以及另一生命比例最低的敌方，造成攻击20%伤害（该敌方回合内每消耗1点鬼火，再额外加上攻击10%伤害）。
自身生命比例每降低1%，提升2.5%此技能伤害。","Lv.2伤害增加至25%
Lv.3敌方消耗鬼火的额外伤害增至20%
Lv.4伤害增加至30%
Lv.5冷却回合数减1",觉醒技能增强,离魂,"对敌方目标造成攻击211%伤害，并附加1层魂隙，根据魂隙层数1~5层，造成生命上限15%、30%、60%、120%、240%间接伤害（不超过入殓师攻击500%）。
带有魂隙的目标，普攻入殓师可以驱散全部魂隙。","Lv.2伤害增加至221%
Lv.3伤害增加至232%
Lv.4伤害增加至244%
Lv.5消耗鬼火减少1点"
八岐大蛇,12418.28,4073.6,480.69,118,0.1,0,0,魂魄碎裂,粉碎敌方目标魂魄，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5普攻时，号令所有蛇魔对目标进行凝视",不洁之力,"使友方目标获得不洁之力，维持2回合，之后将其转化为蛇魔，蛇魔可使用毒液。
当无其他友方式神存活时，将此技能替换为『八岐之影』。","Lv.2每个蛇魔使八岐大蛇和控制的蛇魔提升30%防御
Lv.3每个蛇魔使八岐大蛇和控制的蛇魔提升20%效果抵抗
Lv.4每个蛇魔使八岐大蛇和控制的蛇魔提升10速度
Lv.5施放时将使友方目标获得新的回合",神念之影,"开启神魔空间，号令每个蛇魔为随机敌方目标附加五感尽失直到回合结束。
接着对敌方全体造成攻击158%伤害，并役使所有蛇魔各使用1次毒液攻击随机敌方目标。","Lv.2伤害增加至166%
Lv.3伤害增加至175%
Lv.4伤害增加至183%
Lv.5当无友方式神及阴阳师存活时，获得额外技能『神愤之炎』",觉醒技能增强,不洁之力,"使友方目标获得不洁之力，维持2回合，之后将其转化为蛇魔，蛇魔可使用毒液。
八岐大蛇与蛇魔，攻击时将对目标附加1层魔。
当无其他友方式神存活时，将此技能替换为『八岐之影』。","Lv.2每个蛇魔使八岐大蛇和控制的蛇魔提升30%防御
Lv.3每个蛇魔使八岐大蛇和控制的蛇魔提升20%效果抵抗
Lv.4每个蛇魔使八岐大蛇和控制的蛇魔提升10速度
Lv.5施放时将使友方目标获得新的回合"
兵俑,13329.64,2385.2,414.54,116,0.05,0,0,挥斩,挥舞长刀斩击敌方目标，造成防御160%伤害；连续两次攻击相同目标时，伤害提升50%。,"Lv.2伤害增加至200%
Lv.3伤害增加至240%
Lv.4伤害增加至280%
Lv.5伤害增加至320%",坚甲,生命比例每降低30%，提升5%防御。,"Lv.2生命比例门槛降至20%
Lv.3提升防御效果增至7%
Lv.4提升防御效果增至9%
Lv.5提升防御效果增至11%",坚不可破,石化自身，50%基础概率对敌方全体嘲讽，并使自身获得40%减伤、40%减速；生命比例每降低25%，基础概率提升5%。,"Lv.2减伤效果增至50%
Lv.3减伤效果增至60%
Lv.4减伤效果增至70%
Lv.5减伤效果增至80%",觉醒技能增强,挥斩,挥舞长刀斩击敌方目标，造成防御160%伤害并有30%基础概率对其嘲讽，持续1回合；连续两次攻击相同目标时，伤害提升50%。,"Lv.2伤害增加至200%
Lv.3伤害增加至240%
Lv.4伤害增加至280%
Lv.5伤害增加至320%"
凤凰火,11393,2680,441,106,0.1,0,0,凤火,以妖力凝成凤火弹射向敌方目标，造成攻击100%伤害，有50%基础概率偷取10%暴击，持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",,,,凤凰业火,释放凤凰业火攻击敌方全体，造成攻击99%伤害，若暴击，有25%概率获得新的回合。,"Lv.2伤害增加至104%
Lv.3伤害增加至109%
Lv.4伤害增加至114%
Lv.5伤害增加至119%",觉醒添加技能,烈焰,攻击时，对带有减益状态和控制效果的敌方，有50%基础概率使其眩晕，持续1回合。,
判官,10481.64,3028.4,418.95,118,0.05,0,0,墨笔夺魂,从墨笔中打出一道墨意攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,死亡宣告,发出生死判决攻击敌方全体，造成攻击100%伤害并附加死亡裁决，持续1回合，未被移除时，在目标回合开始前造成攻击100%间接伤害。,"Lv.2伤害增至105%，间接伤害增至105%
Lv.3伤害增至110%，间接伤害增至110%
Lv.4伤害增至115%，间接伤害增至115%
Lv.5伤害增至125%，间接伤害增至125%",觉醒添加技能,无情,造成伤害时，目标生命比例每降低1%，提升1%暴击；对被复活的目标，伤害提升10%。,"Lv.2对被复活的目标，伤害提升增至20%
Lv.3对被复活的目标，伤害提升增至30%
Lv.4对被复活的目标，伤害提升增至40%
Lv.5若判官暴击超过100%，每超出1%，转化为1%暴击伤害"
化鲸,12873.96,2840.8,357.21,111,0.05,0,0,水袭,召唤出水流，对敌方目标造成攻击80%伤害，并对拥有体甲的友方治疗等同该次伤害的生命。同时有30%概率邀战携带齿甲的友方。,"Lv.2伤害增加至85%
Lv.3伤害增加至90%
Lv.4伤害增加至95%
Lv.5伤害增加至105%",齿甲,"给予或是使友方目标获得齿甲。
齿甲在携带者行动后触发，化鲸将唤出巨大的鲸鱼攻击敌方全体，造成敌方生命上限12%真实伤害（不超过携带者攻击100%），此伤害不触发携带者以及敌方的御魂、被动。","Lv.2造成伤害增至敌方生命上限13%
Lv.3造成伤害增至敌方生命上限14%
Lv.4造成伤害增至敌方生命上限15%
Lv.5消耗鬼火减少1点",体甲,"给予或是使友方目标获得体甲，并为友方全体治疗生命上限6%的生命。
体甲在携带者受到暴击伤害时触发，使暴击伤害降低50%。
体甲的携带者在行动前，治疗等同化鲸生命上限6%的生命。","Lv.2治疗增至7%
Lv.3治疗增至8%
Lv.4治疗增至9%
Lv.5治疗增至10%，消耗鬼火减少1点",觉醒技能增强,齿甲,"给予或是使友方目标获得齿甲。
齿甲在携带者行动后触发，化鲸将唤出巨大的鲸鱼攻击敌方全体，造成敌方生命上限12%真实伤害（不超过携带者攻击100%），此伤害不触发携带者以及敌方的御魂、被动。
先机：获得齿甲与体甲。","Lv.2造成伤害增至敌方生命上限13%
Lv.3造成伤害增至敌方生命上限14%
Lv.4造成伤害增至敌方生命上限15%
Lv.5消耗鬼火减少1点"
匣中少女,13671.4,2438.8,392.49,119,0.03,0,0,流光,从宝匣中引出一道流光，攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",溢彩,"唯一效果。
友方行动后，有80%概率使其获得护盾，能吸收匣中少女8％生命上限的伤害，持续1回合。同时获得1个随机增益效果，持续1回合。",,回梦,"使用宝匣的力量，记录友方全体的当前生命，持续2回合后生效。
生效时，若友方当前生命低于记录值的30%，则回复至30%。
被记录的友方受到伤害时，若会因该次伤害而阵亡，则免疫该次伤害并立即生效。","Lv.2触发比例增至40%
Lv.3触发比例增至50%
Lv.4触发比例增至60%
Lv.5冷却回合数减1",觉醒技能增强,溢彩,"唯一效果。
友方行动后，有80%概率使其获得护盾，能吸收匣中少女8％生命上限的伤害，持续1回合。同时获得1个随机增益效果，持续1回合。
受到攻击时，有100%基础概率为攻击者附加1个随机减益效果，持续1回合。",
卖药郎,10253.8,3350,392.49,112,0.1,0,0,释物之形,"使用符咒攻击敌方目标，揭示目标之""形""，造成攻击100%伤害。","Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",道物之真理,"唯一效果。
敌方回合结束后，有40%概率使用天平将之标记，上限3个天平。攻击带有天平的敌方时，每个天平提升33%伤害。
带有1、2、3个天平的敌方，在生命低于30%、40%、60%时，将会把所有天平转化为看破，持续2回合。",,退魔,"拔出退魔剑，变身为金色神灵，对敌方目标造成攻击263%伤害并使用天平将之标记。
若敌方带有看破，则改为造成其当前生命等量的伤害（不超过攻击600%），此次伤害无视护盾、无法分担、不触发其御魂及被动。","Lv.2伤害增加至276%
Lv.3伤害增加至289%
Lv.4伤害增加至302%
Lv.5伤害增加至329%",觉醒技能增强,道物之真理,"唯一效果。
敌方回合结束后，有50%概率使用天平将之标记，上限3个天平。攻击带有天平的敌方时，每个天平提升33%伤害。
带有1、2、3个天平的敌方，在生命低于30%、40%、60%时，将会把所有天平转化为看破，持续2回合。",
古笼火,13215.72,2519.2,396.9,117,0.05,0,0,火风车,使用焰火攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",灵运,受到攻击时，有20%概率回复1点鬼火。,"Lv.2触发概率增至25%
Lv.3触发概率增至30%",恶戏之火,对除自身外的任一目标，100%基础概率附加恶戏状态，持续2回合。若目标为友方则必定命中。,"Lv.2恶戏状态提升伤害效果，增至15%
Lv.3恶戏状态提升伤害效果，增至20%
Lv.4恶戏状态提升伤害效果，增至25%
Lv.5恶戏状态提升伤害效果，增至30%",觉醒技能增强,灵运,"受到攻击时，有20%概率回复1点鬼火。
行动时，若鬼火数为0点，则回复1点鬼火。","Lv.2触发概率增至25%
Lv.3触发概率增至30%"
吸血姬,10937.32,3001.6,405.72,115,0.1,0,0,血袭,牺牲10%当前生命，攻击敌方目标造成攻击120%伤害。,"Lv.2伤害增加至126%
Lv.3伤害增加至132%
Lv.4伤害增加至138%
Lv.5伤害增加至150%",血怒,损失的生命将转化为力量，生命比例每降低1%，提升4%伤害。,,鲜血之拥,化为血蝠拥抱敌方目标，造成攻击131%伤害，并获得等同该次伤害20%的护盾，持续1回合。,"Lv.2伤害增加至138%
Lv.3伤害增加至145%
Lv.4伤害增加至152%
Lv.5伤害增加至159%",觉醒技能增强,鲜血之拥,化为血蝠拥抱敌方目标，造成攻击131%伤害，并获得等同该次伤害20%的护盾，持续1回合。再对该敌方附加失血，造成其生命上限10%间接伤害（不超过吸血姬攻击400%），持续2回合。,"Lv.2伤害增加至138%
Lv.3伤害增加至145%
Lv.4伤害增加至152%
Lv.5伤害增加至159%"
夜叉,10139.88,3269.6,392.49,110,0.12,0,0,屠戮,攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,黄泉之海,"攻击敌方目标，造成攻击198%伤害。
有50%的概率对随机敌方目标重复施放此技能。","Lv.2伤害增加至208%
Lv.3伤害增加至218%
Lv.4伤害增加至228%
Lv.5伤害增加至238%",觉醒添加技能,鬼魅,造成伤害时，30%概率提升20点速度，持续2回合。,"Lv.2触发概率增至35%
Lv.3触发概率增至40%
Lv.4触发概率增至45%
Lv.5触发概率增至50%"
大天狗,10025.96,3449.16,418.95,110,0.1,0,0,风袭,聚风形成旋转风刃攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",钢铁之羽,"战斗开始及回合结束时，获得庇护。
回合开始时，失去庇护，获得雄姿英发，直到回合结束。","Lv.2雄姿英发提升暴击伤害增加至10%
Lv.3雄姿英发提升攻击增加至10%
Lv.4雄姿英发提升暴击伤害增加至15%
Lv.5雄姿英发提升攻击增加至15%",羽刃暴风,召唤飓风形成大型的羽刃旋涡攻击敌方全体4次，每次造成攻击37%伤害。,"Lv.2伤害增加至39%
Lv.3伤害增加至41%
Lv.4伤害增加至43%
Lv.5伤害增加至45%",属性增强:攻击加成增加10%,,,
天井下,11962.6,2251.2,489.51,109,0.05,0,0,扔石头,向敌方目标扔出石头，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",遮雨,"唯一效果。
妖怪屋散发出神奇的灵力，使友方全体提升10%效果抵抗。","Lv.2提升效果抵抗增至15%
Lv.3提升效果抵抗增至20%
Lv.4提升效果抵抗增至25%
Lv.5自身及友方回合开始时，治疗等同其生命上限5%的生命",再会之音,"妖怪屋在平常时候处于迷梦状态，拥有欢愉标记且自身未承受控制效果时，妖怪屋将保持清醒。清醒状态时使友方全体提升10%伤害。
回合开始时，天井下暂时唤醒身下的妖怪屋，使其保持清醒状态直到回合结束。
【施放】自身获得2层欢愉标记，持续1回合。","Lv.2提升伤害效果增至15%
Lv.3友方消耗欢愉标记时，使其额外增加25%行动条
Lv.4提升伤害效果增至20%
Lv.5获得欢愉标记增至3层",觉醒技能增强,再会之音,"妖怪屋在平常时候处于迷梦状态，拥有欢愉标记且自身未承受控制效果时，妖怪屋将保持清醒。清醒状态时使友方全体提升10%伤害，自身提升100%效果抵抗。
回合开始时，天井下暂时唤醒身下的妖怪屋，使其保持清醒状态直到回合结束。
【施放】自身获得2层欢愉标记，持续1回合。","Lv.2提升伤害效果增至15%
Lv.3友方消耗欢愉标记时，使其额外增加25%行动条
Lv.4提升伤害效果增至20%
Lv.5获得欢愉标记增至3层"
